,heat_Demand_MT,heat_Demand_HT,heat_Waste_Heat_MT,heat_Waste_Heat_HT
2021-01-01 19:45:00,2488.295551,214.9,3463.828903,441.3403274
2021-01-01 20:00:00,2445.381044,237.9,3388.088183,570.6369722
2021-01-01 20:15:00,2483.192315,306.3,3377.495242,466.7760979
2021-01-01 20:30:00,2475.126486,255.4,3390.154311,519.1811163
2021-01-01 20:45:00,2424.858807,283.5,3299.414408,605.4213292
2021-01-01 21:00:00,2438.295067,392.1,3280.31779,519.6558771
2021-01-01 21:15:00,2450.629943,353.9,3250.433639,337.8657759
2021-01-01 21:30:00,2489.654119,269.1,3243.583753,436.8656521
2021-01-01 21:45:00,2452.139626,298.8,3229.380944,571.645625
2021-01-01 22:00:00,2422.031165,367.4,3227.487314,439.6600205
2021-01-01 22:15:00,2572.123203,355.0,3165.574758,568.8629729
2021-01-01 22:30:00,2562.21148,374.1,3005.063347,504.9747349
2021-01-01 22:45:00,2568.220619,353.6,2903.338044,330.7870292
2021-01-01 23:00:00,2616.485534,266.7,2889.940075,405.3686385
2021-01-01 23:15:00,2515.704646,300.4,2890.787872,472.0352458
2021-01-01 23:30:00,2448.018399,317.6,2854.744189,444.0402743
2021-01-01 23:45:00,2502.843441,328.4,2763.734678,680.1936514
2021-01-02 00:00:00,2506.410719,437.3,2781.428053,355.4302462
2021-01-02 00:15:00,2266.834535,256.5,2886.589458,386.770951
2021-01-02 00:30:00,2341.044113,249.0,2640.749031,421.0313563
2021-01-02 00:45:00,2244.51999,262.0,2601.021156,424.441754
2021-01-02 01:00:00,2162.753834,288.7,2440.3972,497.5193747
2021-01-02 01:15:00,2042.860645,307.8,2428.550875,795.9744196
2021-01-02 01:30:00,2021.907868,459.9,2609.802575,445.5380729
2021-01-02 01:45:00,2113.704997,325.9,2741.720692,361.9174299
2021-01-02 02:00:00,2156.973666,272.9,2730.555672,402.7630993
2021-01-02 02:15:00,2059.635569,279.2,2544.510719,401.0344924
2021-01-02 02:30:00,2068.255326,274.9,2496.20415,504.8166576
2021-01-02 02:45:00,2034.367408,300.9,2540.082956,667.9044083
2021-01-02 03:00:00,2018.065215,432.4,2509.754111,476.4023465
2021-01-02 03:15:00,1892.869226,396.0,2484.667103,414.1605095
2021-01-02 03:30:00,1805.491798,322.0,2809.505556,434.9761625
2021-01-02 03:45:00,2106.402469,320.1,3049.994518,420.095175
2021-01-02 04:00:00,2303.816125,287.5,2864.419369,414.0091778
2021-01-02 04:15:00,2344.882816,286.4,2728.240649,592.138017
2021-01-02 04:30:00,2231.64391,371.9,2573.166742,734.1069944
2021-01-02 04:45:00,2157.406392,535.5,2652.424614,498.8478063
2021-01-02 05:00:00,2324.548043,342.3,2594.837263,527.6268215
2021-01-02 05:15:00,2359.560313,320.2,2623.509953,501.0608517
2021-01-02 05:30:00,2422.899689,334.0,2656.264444,416.0666073
2021-01-02 05:45:00,2653.841813,247.0,2751.0339,463.1497438
2021-01-02 06:00:00,2618.941489,233.2,2845.22135,473.429366
2021-01-02 06:15:00,2534.401362,267.3,2849.140847,794.6732681
2021-01-02 06:30:00,2656.724903,505.1,2868.170156,629.3512903
2021-01-02 06:45:00,2742.574646,394.7,2769.533189,362.1376087
2021-01-02 07:00:00,2695.975769,256.3,2877.037189,486.1189903
2021-01-02 07:15:00,2704.767174,320.2,2996.393575,597.720516
2021-01-02 07:30:00,2647.478946,377.1,3053.393575,650.261524
2021-01-02 07:45:00,2531.061253,405.0,3052.320547,664.5088941
2021-01-02 08:00:00,2586.043925,433.0,3017.740089,440.0912538
2021-01-02 08:15:00,2591.817878,299.8,2973.83546,521.0691774
2021-01-02 08:30:00,2625.203278,353.4,2879.537689,548.1439792
